Date,Revenue,Expenses,Region,Category,Profit
2023-01-01,2498.16047538945,578.5729642168357,West,Services,1919.587511172614
2023-01-02,4802.857225639665,2091.026028159451,West,Software,2711.8311974802136
2023-01-03,3927.9757672456203,1285.8899526908167,East,Software,2642.0858145548036
2023-01-04,3394.6339367881465,1771.4267279117569,North,Services,1623.2072088763896
2023-01-05,1624.0745617697462,2768.9161848152326,West,Software,-1144.8416230454864
2023-01-06,1623.9780813448106,1123.2305728721874,West,Services,500.74750847262317
2023-01-07,1232.3344486727979,1525.9573075890744,South,Hardware,-293.6228589162765
2023-01-08,4464.704583099741,2388.877846357622,West,Software,2075.8267367421195
2023-01-09,3404.4600469728352,1071.995413729056,West,Hardware,2332.464633243779
2023-01-10,3832.290311184182,692.4497745719825,South,Services,3139.8405366121997
2023-01-11,1082.33797718321,1224.37863228442,East,Hardware,-142.04065510121018
2023-01-12,4879.639408647978,903.0532181350111,West,Hardware,3976.586190512967
2023-01-13,4329.770563201687,2824.2441308564325,South,Services,1505.5264323452543
2023-01-14,1849.3564427131046,2520.3009489110427,North,Hardware,-670.9445061979382
2023-01-15,1727.2998688284024,2083.5093912760585,East,Hardware,-356.2095224476561
2023-01-16,1733.6180394137352,2678.6514754692944,North,Services,-945.0334360555592
2023-01-17,2216.968971838151,2509.180192247786,North,Hardware,-292.2112204096352
2023-01-18,3099.0257265289515,966.4251472150896,South,Services,2132.600579313862
2023-01-19,2727.780074568463,2731.3974962249445,West,Hardware,-3.6174216564813833
2023-01-20,2164.9165607921677,1848.3556047891268,South,Services,316.5609560030409
2023-01-21,3447.411578889518,2518.6003879101563,South,Services,928.8111909793615
2023-01-22,1557.9754426081672,2740.228249808733,South,Hardware,-1182.2528072005657
2023-01-23,2168.5785941408726,1295.0086874296599,South,Hardware,873.5699067112128
2023-01-24,2465.4473731747667,775.129811319192,East,Hardware,1690.3175618555747
2023-01-25,2824.2799368681435,1069.837906354854,West,Software,1754.4420305132894
2023-01-26,4140.703845572054,1567.7694715656407,North,Software,2572.9343740064132
2023-01-27,1798.6951286334388,2545.0369148062327,North,Software,-746.341786172794
2023-01-28,3056.9377536544466,2651.8264581408584,West,Services,405.1112955135882
2023-01-29,3369.6582754481697,517.3803263279767,North,Hardware,2852.2779491201927
2023-01-30,1185.8016508799908,1776.8682564439143,West,Services,-591.0666055639235
