TransactionID,Amount,CustomerID,Date
0,181.5613768701373,108,2023-01-01
1,164.8726722443752,245,2023-01-02
2,257.74046918294937,255,2023-01-03
3,553.7343980590592,33,2023-01-04
4,717.4499634730618,23,2023-01-05
5,663.595402950554,333,2023-01-06
6,287.1345579764834,54,2023-01-07
7,955.3166278565621,309,2023-01-08
8,740.5179475288109,49,2023-01-09
9,558.8105119862867,462,2023-01-10
10,615.6035387720087,78,2023-01-11
11,425.40406180351204,336,2023-01-12
12,255.25367960614588,433,2023-01-13
13,362.41295186474895,358,2023-01-14
14,760.2676493597254,122,2023-01-15
15,24.24955374345831,444,2023-01-16
16,124.91191410184707,359,2023-01-17
17,55.54261560153522,90,2023-01-18
18,50.32151429578043,346,2023-01-19
19,856.9059781708971,193,2023-01-20
20,706.6212807862235,416,2023-01-21
21,479.4320907964519,377,2023-01-22
22,106.85581904449147,463,2023-01-23
23,496.699716365664,244,2023-01-24
24,478.73705307276003,149,2023-01-25
25,181.46985121091504,146,2023-01-26
26,439.5131327455933,478,2023-01-27
27,404.5196870533997,316,2023-01-28
28,619.6915970716943,378,2023-01-29
29,638.7427143589673,141,2023-01-30
30,54.85096967432407,408,2023-01-31
31,380.8664884802065,286,2023-02-01
32,629.601316557094,386,2023-02-02
33,508.10489599428684,339,2023-02-03
34,857.924942776439,111,2023-02-04
35,662.1066953027556,108,2023-02-05
36,171.3050828106154,367,2023-02-06
37,79.86305992642555,281,2023-02-07
38,645.9950854242525,50,2023-02-08
39,36.24619743620559,14,2023-02-09
40,589.9178254607286,134,2023-02-10
41,940.8279390107081,76,2023-02-11
42,579.7194360971201,84,2023-02-12
43,394.2882269444567,343,2023-02-13
44,646.8553362579296,158,2023-02-14
45,463.6703615866015,286,2023-02-15
46,550.1606214227755,422,2023-02-16
47,942.0501606887599,314,2023-02-17
48,392.2416114227665,94,2023-02-18
49,961.5786581856751,297,2023-02-19
50,906.2971355365031,94,2023-02-20
51,203.83322344140348,57,2023-02-21
52,78.6676878664138,164,2023-02-22
53,109.77022136365238,320,2023-02-23
54,28.03960739503423,497,2023-02-24
55,103.49853114836911,98,2023-02-25
56,686.1767056821933,16,2023-02-26
57,80.4767619756267,344,2023-02-27
58,325.7858739908237,78,2023-02-28
59,846.42655785976,346,2023-03-01
60,33.03921637846761,72,2023-03-02
61,816.3237977630464,270,2023-03-03
62,289.03622702566594,287,2023-03-04
63,126.9831793454397,66,2023-03-05
64,699.7697937105091,368,2023-03-06
65,632.6534183120851,68,2023-03-07
66,878.6972933917824,193,2023-03-08
67,737.720333365847,55,2023-03-09
68,805.4461210810001,468,2023-03-10
69,289.21422684559343,379,2023-03-11
70,185.6651483419256,462,2023-03-12
71,753.1086041244497,168,2023-03-13
72,808.7663918745914,409,2023-03-14
73,990.6000905806666,25,2023-03-15
74,418.4915001423122,131,2023-03-16
75,378.29790493485535,325,2023-03-17
76,778.6488311345769,102,2023-03-18
77,347.39550485048767,374,2023-03-19
78,931.449752347529,282,2023-03-20
79,859.8286243245817,296,2023-03-21
80,434.70408710126816,294,2023-03-22
81,753.3623571135824,422,2023-03-23
82,756.9974453438356,452,2023-03-24
83,112.09263014757329,263,2023-03-25
84,903.527377612771,478,2023-03-26
85,510.1998487233786,414,2023-03-27
86,828.1928914466642,120,2023-03-28
87,326.8491050203056,403,2023-03-29
88,896.5679962112384,231,2023-03-30
89,395.3096619468215,291,2023-03-31
90,20.729274965495378,488,2023-04-01
91,906.328156655071,161,2023-04-02
92,100.37381001827222,161,2023-04-03
93,326.12050121451074,78,2023-04-04
94,950.5613473802969,38,2023-04-05
95,951.1010754681805,394,2023-04-06
96,577.7035092420532,441,2023-04-07
97,635.5188400481013,28,2023-04-08
98,453.96106675853656,462,2023-04-09
99,300.27866398108387,100,2023-04-10
100,335.3778999162168,294,2023-04-11
101,675.7932715162681,400,2023-04-12
102,754.8507841433033,124,2023-04-13
103,793.66325328859,405,2023-04-14
104,791.7219613666083,92,2023-04-15
105,100.29404201820347,255,2023-04-16
106,499.4761016555557,97,2023-04-17
107,66.98317241647784,6,2023-04-18
108,554.0335935004982,169,2023-04-19
109,447.1151963596432,383,2023-04-20
110,888.8271409307167,271,2023-04-21
111,357.4058624265579,108,2023-04-22
112,125.8963462633298,387,2023-04-23
113,151.5617652323075,299,2023-04-24
114,763.8955254002975,47,2023-04-25
115,622.0358826830984,99,2023-04-26
116,110.11144936156234,14,2023-04-27
117,93.26573805384746,194,2023-04-28
118,703.9594401445288,157,2023-04-29
119,82.03537630055159,388,2023-04-30
120,823.6414586974527,154,2023-05-01
121,709.1798048849313,115,2023-05-02
122,90.53529283548076,396,2023-05-03
123,93.98933694434,258,2023-05-04
124,986.7731827161637,145,2023-05-05
125,380.5280877985591,291,2023-05-06
126,376.935725596222,10,2023-05-07
127,814.6715715849275,368,2023-05-08
128,947.7760916100201,214,2023-05-09
129,986.1410531846421,233,2023-05-10
130,755.8444034063522,171,2023-05-11
131,382.4969896756066,21,2023-05-12
